Frequency;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
100;0.08341270938783293;0.0015362473510576917;0.011736663015904644;0.0009115686866431566;0.002079068315163848;0.0034677928758324052;0.003615253209377784;0.0036077361824916753;0.01296211729093694;0.0037594006416101174;0.006386909443565835;0.004253569625987687;0.028072660638594447;0.011554441772738842;0.00395526234509193;0.007010100441464603
108;0.07452018735479357;0.001686505804684389;0.01176077423980741;0.0013853893265293443;0.002458397383403055;0.0030811070634729214;0.0031875276912853466;0.0014734505937139344;0.012948657285605236;0.0036247945582720408;0.0038309979165023285;0.004312909863155812;0.02957508089291774;0.011692189603426417;0.0032344222029108516;0.006605236277065017
116;0.056061366362465496;0.0012132322582190241;0.010977097760181739;0.0017822528033857713;0.0017585458726234776;0.0022375570963724654;0.0018815039285422716;0.003539269736294511;0.012325805451646774;0.0040067372627988545;0.004446064879956952;0.0011417434044320679;0.027702327352112383;0.008621089068823178;0.003775969525144096;0.006815776837970569
124;0.03537975004878414;0.001458572455672132;0.011049899364811653;0.0018943403858760275;0.001270820880907774;0.0028730583559763937;0.002535168569178323;0.003058069666145423;0.013048772854195168;0.005662252797054346;0.0037174525039457575;0.004266254158958241;0.027569093707450372;0.011638192828674166;0.0019212234628243677;0.006624376882650932
132;0.0230721916896188;0.0010330851500113922;0.008411925237158667;0.0045363156478279145;0.0005927152697458269;0.004189844111271618;0.0010591716682528873;0.003776099373789805;0.012679667173436505;0.003925215997059608;0.0035276075886781994;0.006895050100201706;0.02876222636135035;0.011835104575502114;0.003761647530639968;0.009499202128020185
140;0.029581128131329574;0.0015185419997852695;0.010712821160400818;0.0017615168452008532;0.0022072628736750956;0.003478878587197159;0.001354069740720465;0.0011523687007150255;0.012062336782578478;0.0031813010997872606;0.003593818658877364;0.005145043943258196;0.027583876019860627;0.01371384832593549;0.003413226192128316;0.009777787078892968
148;0.05465945419086522;0.0028311182750647935;0.010095648924111914;0.001583495933278198;0.003800968818172542;0.001537629025900711;0.0037660526750921373;0.0001450901838958952;0.013343173077873152;0.004297817763729136;0.004499750240325817;0.00591677833863417;0.026959972902166836;0.011205293475607291;0.0023003009750252523;0.006273828854261991
156;0.07185600399186648;0.0013887601219372998;0.011252339850092458;0.0021230888301560598;0.00349470036356563;0.005410356860592339;0.002272127168897036;0.0017679107260204707;0.012922633161400281;0.004655196796735095;0.002311558701806829;0.00425467471180895;0.02840048853768419;0.011905159279955146;0.0037549983279548784;0.0070491359822356485
164;0.08279464206938954;0.0016365961407020196;0.013808372330341503;0.0009696922220476314;0.0027726510608450865;0.003880035602223862;0.0005860947453905977;0.0018339828711848197;0.012827367695565028;0.0029578921565712457;0.0034361873510084014;0.0049041375067057115;0.02390751737912174;0.011342713650335354;0.002699753020406984;0.006190183091916186
172;0.07659750008883497;0.0008310781862995644;0.010800993824783736;0.0015113503558842926;0.004729565129720257;0.0032852436221669553;0.002533212591105113;0.0021609287418471314;0.014332708248156495;0.0044673068762826505;0.0034985242533306826;0.004289196391177258;0.027547533052151574;0.010355775226438935;0.0026208683022507675;0.0064930804943220555
180;0.06537376452032957;0.003982904590898712;0.008733055406694213;0.005041115441823651;0.0016445418835260674;0.0021329263726808526;0.0017427295578956378;0.002181056728783991;0.013841579060671147;0.003468713741194938;0.006286114190836469;0.004766583129385454;0.027679561936379;0.010404426498187173;0.005093864500806548;0.004603198268147393
188;0.04406356961846553;0.0031061318387660937;0.011770408319020733;0.004056398038792517;0.002250942483399528;0.003382162166070856;0.0005814281204636794;0.00175897051661762;0.012736770650365811;0.0030165567230152164;0.004713805822622689;0.004212682022514559;0.027365728658553475;0.007972160062032803;0.00607262332775249;0.006428010242800289
196;0.028408794405856412;0.0031569283548291433;0.009949839854246915;0.0012704946331537534;0.001580307043472838;0.0012251385167649283;0.0007915019273967923;0.003721351566604324;0.012389500714772923;0.0007244254920071733;0.0032027066007872104;0.006120056370699435;0.027258758795711803;0.010331617627378966;0.0023046426652291482;0.009117865014046371
204;0.02794149156930041;0.0002442032403240922;0.010221403406022974;0.0019439959850567551;0.0009206702269913513;0.002314640775283468;0.0003436818997731668;0.0020707062796193818;0.012669734317565379;0.0038092358533161727;0.002909266027403366;0.002306552572736181;0.027478780765973886;0.01119300140938761;0.002537601807882392;0.006248724539615941
212;0.044678987133307965;0.0008545124086727079;0.011050609590212243;0.0019637245706730657;0.0041884419265702565;0.006272300614085338;0.0006563809862683762;0.0015315109791798611;0.01298996195147526;0.0039412476370035265;0.0033024733948256485;0.008364952809646152;0.027687593601300645;0.009731528041413657;0.0030977904291239634;0.00637311696811744
220;0.06182852465340141;0.0010123744828840625;0.010149376406230239;0.0032260658552125867;0.002490091329742167;0.005482155549113343;0.002335617463963873;0.0008456497146470213;0.012746765583619271;0.005653456308848717;0.003393546024658908;0.004515271782447748;0.02676454759873014;0.010600873341082272;0.0032156293178507117;0.006721532848940415
228;0.08808664478703132;0.0013089566189819037;0.011464110395199494;0.0024061289743919057;0.002851996246183352;0.009954243463772855;0.003943026973248129;0.0027175503065418947;0.013055054732966514;0.00590772418066964;0.0019276258613784363;0.004617363285598275;0.028857947635457137;0.009772647667252374;0.00306067147192645;0.0033616640973521635
236;0.08657626225396574;0.0021933149120651366;0.008527833376183696;0.0027209212627495255;0.002484007414911293;0.009436432200780649;0.0016228578052280178;0.002494546315601783;0.014856863646472733;0.0031802728401636267;0.00596211284260678;0.0040497325304528296;0.026278872095636587;0.009715728332775817;0.0059620738109130485;0.006139965226671449
244;0.07242776750870353;0.0005422818070281256;0.011281306214535002;0.004122650877772705;0.0011644014848914838;0.00241509967364781;0.0005618026188271623;0.0047776848573893764;0.013655647231107121;0.006934585786791504;0.0027486006143713037;0.004150700509286724;0.0272417050002083;0.008292580690118841;0.002495659665770982;0.005479505053901528
252;0.053126256049237416;0.0006671515961617058;0.011076964848860135;0.0024692500820728733;0.0017638893471348372;0.0048386844256522255;0.0028488182777464477;0.002817142561549909;0.012159488123850017;0.0037866502524126163;0.002360799960437563;0.004607236598102394;0.02745905075229746;0.012144484169988683;0.002617007060277253;0.008802688103943829
260;0.034287140996065606;0.0014454561484320387;0.010394321672340959;0.0004195968165852868;0.0014474189899797104;0.0002773497023585118;0.0038397708411255418;0.0022993141872784555;0.012831878274231141;0.003424385854391919;0.0026526412893237345;0.007048081979490869;0.02845500184416095;0.009483518841345588;0.0024469767741013607;0.006539739575908346
268;0.028523318974105434;0.0005235291064011408;0.009341309662446881;0.001673603352020383;0.0030239576589401835;0.0018106157112794707;0.0011524791204877013;0.002398181457945354;0.014378764809399109;0.0035515104355939254;0.003759445921386984;0.007578751204291963;0.025148290161913913;0.009742948839617106;0.0033062701644074647;0.006252067157323823
276;0.03617273828200522;0.002509164423307386;0.009656129818062539;0.0010411866382091799;0.0010100905983307649;0.00022600130281345216;0.0021565043746595114;0.0021421031515420344;0.012722745295783846;0.003492312057012247;0.0017266403014537261;0.005360272271465819;0.0274202027577281;0.009899884568367467;0.0029446798128516787;0.005664872494320828
284;0.06709482112723175;0.0017263396189286212;0.01076428321199797;0.0010397303854565883;0.0017028595477646892;0.005072342392496528;0.002005543153021036;0.002046254675055114;0.014043835487268095;0.003169989277336516;0.0034773266904928844;0.0029451666924624944;0.028522501501774537;0.008824601180426281;0.0031855031767102798;0.0029011213968012923
292;0.07792865032619073;0.0021194752705228116;0.013238634586952578;0.0025039012659162987;0.0013342412320366589;0.004838637459041388;0.0013060530500201301;0.0005583559435050433;0.01310653482415407;0.0028973730563487065;0.005732484996531445;0.004377809549992986;0.0237495808903223;0.0064768584069581645;0.005842011810353976;0.0035569423361916674
300;0.08967052889618646;0.0036003445007917693;0.010667087019436902;0.0054014929294898045;0.00464739820400916;0.005777688818286989;0.003228314096135136;0.003277350190663768;0.010799905171868003;0.002553496121661468;0.001262747668364595;0.004321950688669655;0.027158682426228563;0.008586826555679865;0.00351780578870485;0.007974066238503425
308;0.08169617982589479;0.004573796171089115;0.008330676851351897;0.0021874111129406896;0.0026638580593281594;0.01099641671626326;0.0011980231359567477;0.0022038836666761837;0.014382984927113958;0.0048443111470189;0.0029943711905107764;0.003785323959590789;0.026684506800025;0.010634227652939296;0.0004983154346563939;0.006289335398311101
316;0.06069836658428928;0.0024072211371743346;0.008534768807574599;0.002325350564948542;0.0013377934379466693;0.007191156377603842;0.001044548093856629;0.0019838460469377935;0.013343809298861687;0.003865175849294504;0.0033844728585953675;0.005248579861949867;0.02828103308317219;0.007975536378096096;0.004906209199050717;0.005242702391935746
324;0.0372103831488472;0.004741399073586556;0.010825411796572447;0.0005746607288914876;0.0029764441860646047;0.006632971201988831;0.003877798920679408;0.005857257824091792;0.01513684249487626;0.003565145474454545;0.004406491212739902;0.004399972668283295;0.02783733895716901;0.00662202553772889;0.0025584393380184934;0.008745779093539125
332;0.030151303057091284;0.0027004597745390545;0.007212935603200382;0.0016387214294069433;0.001086844462228006;0.0051794030477548495;0.004354190432251804;0.001787449449873194;0.014056496493891946;0.0026157542933744173;0.0015223118491089292;0.002303608940886964;0.030022156190914563;0.005768931638043705;0.0028764311444959105;0.005731896919365203
340;0.03373980200205628;0.003204065157600958;0.01056044185447543;0.0019478589778270437;0.00360883476223649;0.004063172952907684;0.0011356630699949593;0.0018251454989964549;0.014258410024434818;0.003382379834604292;0.0053953489046207614;0.005658058959429199;0.025101979541242835;0.005612819966970277;0.0032132189875977825;0.0032844386795556806
348;0.05402935592458597;0.00542443313959096;0.010161334354454883;0.001337008262772129;0.0014980631292582053;0.0019345408625213983;0.0020906235636297733;0.0026419703340091064;0.010546702410601901;0.005092776963201114;0.00260438205098916;0.004802973894801257;0.027408104971811422;0.011696553196032546;0.0051407728916489535;0.006199614356490467
356;0.07634765309873065;0.0037699699918378707;0.009757503220871752;0.0036105937446979774;0.004699937263132553;0.005541177822806272;0.0018020601039230638;0.0025413953940176368;0.013058840426779005;0.005973482984480761;0.0021375473778684766;0.004710265764891929;0.029090265970062357;0.007475310487787152;0.003111353151099403;0.0053484634888880354
364;0.09078392918835443;0.0017634615622902385;0.0076511380134937235;0.004356719936713275;0.0019378400918414805;0.004327964994516883;0.0007705358771334206;0.0006497914395999385;0.01529030663310374;0.0032534007771781665;0.005640670626767691;0.0048255658761145225;0.026551131418841366;0.003287720011042682;0.006377154734651871;0.0031650139728463273
372;0.08506253133831573;0.002145260290369775;0.013819719254056707;0.0053169358431423945;0.0011320175826327575;0.004073930812285126;0.0036583590713926075;0.0061376945926198655;0.009960782409246414;0.0002892684537677465;0.002671416530044059;0.004091397672495845;0.027901800736772224;0.004409057723732169;0.006763828938991104;0.008661531537597134
380;0.07249221420950842;0.004498898897978714;0.007493973146123726;0.0007983967147133924;0.00224769369374623;0.007478268068386559;0.0010688784707517571;0.001830730475136291;0.015465819691290744;0.0054885281509098926;0.0025075532798778406;0.005026309476121216;0.028304563222594246;0.010177735694815924;0.001962702237001828;0.0028621193930533717
388;0.043782982066559666;0.0020492224355636328;0.010982512755998456;0.002545971705987406;0.001266229137369412;0.003871047959213826;0.0022616611907592377;0.004094419775819187;0.014298982978871314;0.0036981857636916916;0.003335058177714926;0.0010602832086928251;0.02848306954180711;0.009306900246659136;0.00694405419382824;0.005934585276540428
396;0.033287384685954824;0.005340264888709231;0.010246902343048677;0.0015703936258373748;0.0031424083585512522;0.008646772361717604;0.005054573091879443;0.004421303922739838;0.01498794520608351;0.00017139012730851805;0.0035832737543425525;0.004348053267762888;0.02409583112755406;0.012274184089547396;0.004499725106527715;0.007989072804418696
404;0.0305473932754489;0.003119189402249056;0.009068179346023216;0.0015576267188190203;0.004775419117210779;0.011999807823677634;0.001219375366071823;0.0014339784353853136;0.011682128304446758;0.005578704800182747;0.0032206868733994265;0.002023783027990892;0.027243060190769275;0.008239071518265993;0.003535084409112866;0.006482262388435147
412;0.0509440643149379;0.0027753467005750014;0.009586723085682184;0.002476116188281209;0.004204704572684649;0.01082063646249153;0.0032150945716142975;0.0020531880490824326;0.01663813263699468;0.0029443821560004345;0.005054641915574627;0.005048736508636007;0.028872976972683963;0.012599710493922648;0.00312173944606645;0.0060487416161933375
420;0.06408262717311429;0.005287681153853966;0.012494822116247221;0.00178316193712997;0.0012540350123405727;0.008242614644886048;0.0021755998413589533;0.00222558634515654;0.014406769955237346;0.00303300250244233;0.005493897915665954;0.00402636286239677;0.02400905393433106;0.0105944804222048;0.005878327787939855;0.005135478648418882
428;0.08549613197782321;0.001703209550495524;0.010128052229122218;0.003933253112483847;0.004336438114973973;0.010156824716240598;0.0016900971619955676;0.004829799344654935;0.015566684347454927;0.006093471464793677;0.0022740922602556097;0.004103287850910481;0.029030414607129313;0.009833920660175174;0.003533566014691413;0.003190683521121018
436;0.09098940597299691;0.0012307863085596212;0.012976108343040433;0.0048783731850378055;0.002432248109686656;0.0060916058438140975;0.0020322692744323603;0.000385890971470682;0.016738554543538533;0.0030093833101212508;0.004085655626955655;0.0036203779825678974;0.02887923642338267;0.00925812806448966;0.006435084158928101;0.006625722586353909
444;0.07818024528466856;0.0019148046361182312;0.01308287508132091;0.004447250906923124;0.0004890916857191483;0.002269540893449878;0.0017518330078021152;0.004362879780116347;0.014000763382362552;0.0006925073067199613;0.002684152606231049;0.0042177581474201;0.028999700950971746;0.005524448321812165;0.0033948159026781634;0.006086920205470171
452;0.0562316004852645;0.0018674282862205856;0.009297733886690442;0.0018419632427089916;0.0022596497987459135;0.0005372604240842097;0.004811122973089748;0.004699550198866547;0.013430549957977147;0.0032317328305909764;0.0030971006243309036;0.004750148815521977;0.027963295279496293;0.002850610225492819;0.003563503612974934;0.008155532434404538
460;0.03851617043708466;0.0024555379449884757;0.0075398659726336505;0.0034516182394885176;0.003535901150091969;0.001549681622012274;0.0038386448471427383;0.0022213954103074258;0.013211257738326546;0.004516672339853905;0.0025472237514100847;0.0067820142672639335;0.028475807701146442;0.0027746038986636327;0.0026900403809960757;0.005244756609805588
468;0.03568660842357631;0.004158252618046541;0.010024918520215741;0.0019941884224471086;0.00145027404361846;0.007153156654760851;0.0008142930698330049;0.0029822554121760217;0.013131527407310764;0.002683914061765515;0.002127421221124408;0.0051313429354040456;0.02472343457805092;0.0033585797755360633;0.0037859029775847825;0.005910229915921008
476;0.045556328747195174;0.004504168914053535;0.009828295031446155;0.0010742422933812243;0.004490911956629513;0.008952079776774287;0.0026853388399947766;0.0028014337917590584;0.011637521143773042;0.003596550087713083;0.0020570503379222518;0.00422562563986025;0.026338866632912843;0.005715592598450075;0.0037510770354002914;0.00570751549047361
484;0.06598262024843382;0.002829040909409543;0.010717410038856654;0.004681958986412285;0.004960756381997495;0.012507302609573591;0.0034238614559342104;0.0033366216472614147;0.015832486811237775;0.0025595802865316466;0.00409711212762892;0.004343170375186456;0.028323596014384056;0.005055068351993354;0.003752162291679451;0.0055958466922807724
492;0.08092401517897635;0.004883417203110109;0.010001413132559332;0.0016751669223313177;0.0034321123783579224;0.01812465545638703;0.0023177128616457604;0.0035553751520595424;0.01682131454711374;0.0027826476876608793;0.005438259123811238;0.0030816600537246427;0.02460169506929197;0.00811395466990317;0.005853907349439712;0.005492812388154055
